1.0,2022-11-28 12:14:00,2022-11-28 17:14:00
1.0,2022-11-29 10:53:00,2022-11-29 13:47:00
1.0,2022-12-01 10:55:00,2022-12-01 11:03:00
1.0,2022-12-01 11:16:00,2022-12-01 18:08:00
1.0,2022-12-02 10:53:00,2022-12-02 13:53:00
1.0,2022-12-02 14:09:00,2022-12-02 18:09:00
1.0,2022-12-06 11:04:00,2022-12-06 12:04:00
1.0,2022-12-06 12:24:00,2022-12-06 18:24:00
1.0,2022-12-07 15:49:00,2022-12-07 17:14:00
1.0,2022-12-08 11:28:00,2022-12-08 17:56:00
1.0,2022-12-09 10:47:00,2022-12-09 15:47:00
1.0,2022-12-12 12:30:00,2022-12-12 12:43:00
1.0,2022-12-12 13:14:00,2022-12-12 18:01:00
1.0,2022-12-13 11:00:00,2022-12-13 14:13:00
