1.0,2019-12-12 15:21:00,2019-12-12 20:18:00
1.0,2019-12-13 10:58:00,2019-12-13 12:58:00
1.0,2019-12-16 10:25:00,2019-12-16 17:55:00
1.0,2019-12-17 09:43:00,2019-12-17 17:13:00
1.0,2019-12-18 10:47:00,2019-12-18 17:47:00
1.0,2019-12-19 11:14:00,2019-12-19 18:14:00
1.0,2019-12-20 10:25:00,2019-12-20 15:37:00
1.0,2019-12-20 15:51:00,2019-12-20 17:39:00
1.0,2019-12-23 15:22:00,2019-12-23 17:52:00
1.0,2019-12-26 10:50:00,2019-12-26 17:50:00
1.0,2019-12-27 09:53:00,2019-12-27 16:53:00
1.0,2019-12-30 10:48:00,2019-12-30 11:36:00
1.0,2019-12-30 11:51:00,2019-12-30 16:42:00
1.0,2019-12-30 16:59:00,2019-12-30 17:53:00
1.0,2020-01-02 11:20:00,2020-01-02 18:20:00
1.0,2020-01-03 10:45:00,2020-01-03 17:45:00
