1.0,2018-11-09 14:19:00,2018-11-09 18:19:00
1.0,2018-11-14 10:50:00,2018-11-14 14:50:00
1.0,2018-11-21 11:43:00,2018-11-21 13:23:00
1.0,2018-11-26 10:54:00,2018-11-26 17:54:00
1.0,2018-11-27 11:01:00,2018-11-27 18:01:00
1.0,2018-11-28 11:05:00,2018-11-28 17:05:00
1.0,2018-11-29 09:14:00,2018-11-29 18:14:00
1.0,2018-11-30 11:11:00,2018-11-30 18:11:00
1.0,2018-12-03 11:52:00,2018-12-03 15:27:00
1.0,2018-12-04 10:35:00,2018-12-04 12:24:00
1.0,2018-12-04 13:02:00,2018-12-04 18:13:00
1.0,2018-12-05 11:11:00,2018-12-05 13:35:00
1.0,2018-12-05 13:52:00,2018-12-05 17:40:00
1.0,2018-12-06 10:49:00,2018-12-06 15:22:00
